team,week,VoA_Output,VoA_Ranking_Ovr,VoA_Rating_Ovr
MIA,17,16.63157894736842,21,-0.32197443742411025
PIT,17,15.973684210526315,22,-0.5085510162166746
TB,17,18.157894736842106,23,-1.3177104134975353
ATL,17,17.473684210526315,24,-1.5218347889902697
CLE,17,18.157894736842106,25,-1.9556514647887862
NO,17,16.473684210526315,26,-3.9561847420556675
ARI,17,18.973684210526315,27,-3.997588230320949
CAR,17,20.289473684210527,28,-4.056679948724085
WAS,17,18.68421052631579,29,-6.465174177322271
TEN,17,21.86842105263158,30,-7.743259185190363
NYJ,17,21.63157894736842,31,-8.811109443529844
LV,17,21.342105263157894,32,-9.978103296651629
